,person_id,full_name,gender,graduate_degree,mfa_degree,award,prize_amount
0,1.0,A. B. Guthrie Jr,male,0,no mfa,1.0,15000.0
1,2.0,A. E. Stallings,female,1,no mfa,3.0,570000.0
2,3.0,A. G. Mojtabai,female,1,no mfa,2.0,20000.0
3,4.0,A. J. Verdelle,female,1,Bard College,2.0,70000.0
4,6.0,A. R. Ammons,male,1,no mfa,9.0,900000.0
5,10.0,Achy Obejas,female,1,Warren Wilson College,1.0,50000.0
6,12.0,Adam Foulds,male,1,no mfa,1.0,10000.0
7,13.0,Adam Haslett,male,1,University of Iowa,1.0,100000.0
8,14.0,Adam Hochschild,male,0,no mfa,2.0,25000.0
9,15.0,Adam Johnson,male,1,McNeese State University,3.0,75000.0
10,17.0,Adam Thirlwell,male,1,no mfa,1.0,10000.0
11,18.0,Adria Bernardi,female,1,no mfa,1.0,15000.0
12,19.0,Adrian Blevins,female,1,Warren Wilson College,1.0,10000.0
13,20.0,Adrian Castro,male,0,no mfa,1.0,50000.0
14,21.0,Adrian Matejka,male,1,Southern Illinois State University,2.0,100000.0
15,22.0,Adriana Ramirez,female,1,University of Pittsburgh,1.0,10000.0
16,24.0,Adrienne Kennedy,female,0,no mfa,1.0,10000.0
17,25.0,Adrienne Rich,female,1,no mfa,8.0,920000.0
18,26.0,Afaa Michael Weaver,male,1,no mfa,1.0,100000.0
19,28.0,Agymah Kamau,male,1,Virginia Commonwealth University,1.0,50000.0
20,29.0,Ahdaf Soueif,male,1,no mfa,1.0,50000.0
21,30.0,Ai Ogawa,female,1,"Univeristy of California, Irvine",2.0,60000.0
22,32.0,Akhil Sharma,male,1,no mfa,2.0,60000.0
23,34.0,Al Kennedy,female,0,no mfa,1.0,200000.0
24,37.0,Alan Dugan,male,0,no mfa,5.0,195000.0
25,38.0,Alan Furst,male,1,no mfa,1.0,40000.0
26,39.0,Alan Heathcock,male,1,"Bowling Green State University, Boise State University",1.0,50000.0
27,40.0,Alan Hewat,male,0,no mfa,1.0,10000.0
28,41.0,Alan Hollinghurst,male,1,no mfa,1.0,10000.0
29,44.0,Alan Saperstein,male,0,no mfa,1.0,10000.0
30,45.0,Alan Shapiro,male,1,no mfa,3.0,120000.0
31,49.0,Albert Guerard,male,1,no mfa,1.0,10000.0
32,50.0,Albert Mobilio,male,0,no mfa,1.0,50000.0
33,52.0,Albertf Moritz,male,1,no mfa,1.0,10000.0
34,54.0,Aldous Huxley,male,0,no mfa,1.0,25000.0
35,55.0,Aleksandar Hemon,male,1,no mfa,2.0,510000.0
36,56.0,Aleksander Hemon,male,1,no mfa,1.0,50000.0
37,58.0,Alex Haley,male,0,no mfa,1.0,15000.0
38,59.0,Alex Kotlowitz,male,0,no mfa,1.0,20000.0
39,60.0,Alex Ross,male,0,no mfa,1.0,10000.0
40,61.0,Alexander Chee,male,1,University of Iowa,1.0,50000.0
41,62.0,Alexander Greendale,male,1,no mfa,1.0,10000.0
42,64.0,Alexander Theroux,male,1,no mfa,1.0,150000.0
43,67.0,Alfred Corn,male,1,no mfa,2.0,35000.0
44,68.0,Alfred Hayes,male,0,no mfa,1.0,10000.0
45,69.0,Alfred Kazin,male,0,no mfa,1.0,10000.0
46,71.0,Ali Cobbyeckermann,female,0,no mfa,1.0,165000.0
47,72.0,Alice Adams,female,0,no mfa,1.0,10000.0
48,74.0,Alice Fulton,female,1,Cornell University,2.0,510000.0
49,76.0,Alice McDermott,female,1,no mfa,2.0,60000.0
50,78.0,Alice Munro,female,0,no mfa,1.0,150000.0
51,79.0,Alice Notley,female,1,University of Iowa,3.0,135000.0
52,81.0,Alice Sola Kim,female,1,Washington University,1.0,50000.0
53,82.0,Alice Walker,female,0,no mfa,3.0,35000.0
54,85.0,Alison Lurie,female,0,no mfa,2.0,25000.0
55,86.0,Alison Rollins,female,1,no mfa,1.0,25800.0
56,87.0,Alison Stine,female,1,University of Maryland,1.0,25800.0
57,88.0,Alissa Leigh,female,0,no mfa,1.0,25800.0
58,89.0,Alistair Macleod,male,1,no mfa,1.0,150000.0
59,91.0,Allegra Goodman,female,1,no mfa,1.0,50000.0
60,92.0,Allen Drury,male,0,no mfa,1.0,15000.0
61,93.0,Allen Ginsberg,male,0,no mfa,2.0,20000.0
62,94.0,Allen Grossman,male,1,no mfa,3.0,520000.0
63,95.0,Allen Tate,male,0,no mfa,6.0,140000.0
64,96.0,Allison Glock,female,1,no mfa,1.0,50000.0
65,99.0,Allison Seay,female,1,University of North Carolina,1.0,25800.0
66,100.0,Amanda Coplin,female,1,University of Minnesota,1.0,50000.0
67,101.0,Aminatta Forna,female,0,no mfa,1.0,165000.0
68,102.0,Amitav Ghosh,male,1,no mfa,1.0,50000.0
69,103.0,Amitava Kumar,male,1,no mfa,1.0,50000.0
70,105.0,Amy Clampitt,female,0,no mfa,3.0,535000.0
71,107.0,Amy Hempel,female,0,no mfa,2.0,70000.0
72,108.0,Amy Herzog,female,1,Yale University,1.0,50000.0
73,109.0,Amy Leach,female,1,University of Iowa,1.0,50000.0
74,110.0,Amy Lowell,female,0,no mfa,1.0,15000.0
75,112.0,Amy Rowland,female,0,no mfa,1.0,10000.0
76,113.0,Amy Wilentz,female,0,no mfa,2.0,60000.0
77,114.0,An Wilson,male,1,no mfa,1.0,10000.0
78,118.0,Anderson Ferrell,male,1,no mfa,1.0,50000.0
79,119.0,Andre Aciman,male,1,no mfa,1.0,50000.0
80,120.0,Andre Alexis,male,0,no mfa,1.0,165000.0
81,121.0,Andre Dubus,male,1,University of Iowa,2.0,510000.0
82,122.0,Andrea Barrett,female,0,no mfa,3.0,520000.0
