,person_id,full_name,given_name,last_name,gender,elite_institution,graduate_degree,mfa_degree,stegner,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,title_of_winning_book
2,1891,Reuben Bercovitch,Reuben,Bercovitch,unknown,,,,,winner,PEN America,Hemingway Award for Debut Novel,1979,prose,book,10000.0,Hasen
3,1807,Pauline Hanson,Pauline,Hanson,unknown,,,,,winner,American Academy of Arts and Letters,Arts and Letters Awards,1972,no genre,career,10000.0,
4,1032,Jean Valentine,Jean,Valentine,female,Radcliffe College,graduate,,,winner,Yale University,Bollingen Prize for Poetry,2017,poetry,career,10000.0,
5,123,Andrea Lawlor,Andrea,Lawlor,nonbinary/they,,graduate,"University of Massachusetts, Amherst",,winner,Whiting Foundation,Whiting Award,2020,no genre,career,50000.0,
6,1295,Kayleb Rae Candrilli,Kayleb Rae,Candrilli,nonbinary/they,,graduate,University of Alabama,,winner,Whiting Foundation,Whiting Award,2019,no genre,career,50000.0,
17,617,E. L. Doctorow,E. L.,Doctorow,male,,,,,winner,National Book Foundation,National Book Award,1986,prose,book,10000.0,World's Fair
18,2192,T. Coraghessan Boyle,T. Coraghessan,Boyle,male,,graduate,University of Iowa,,winner,PEN America,Faulkner Award for Fiction,1988,prose,book,15000.0,World's End
21,547,David Wojahn,David,Wojahn,male,,graduate,University of Arizona,,winner,Academy of American Poets,Lenore Marshall Poetry Prize,2012,poetry,book,25000.0,World Tree
25,2213,Theodore Roethke,Theodore,Roethke,male,,graduate,,,winner,National Book Foundation,National Book Award,1959,poetry,book,10000.0,Words For The Wind: Poems Of Theodore Roethke
28,1164,John Pipkin,John,Pipkin,male,,graduate,,,winner,Center for Fiction,First Novel Prize,2009,prose,book,15000.0,Woodsburner
32,1741,Norman Rush,Norman,Rush,male,,,,,winner,American Academy of Arts and Letters,Rosenthal Family Foundation Award,1987,prose,book,10000.0,Whites
33,585,Don DeLillo,Don,DeLillo,male,,,,,winner,National Book Foundation,National Book Award,1985,prose,book,10000.0,White Noise
42,1839,Philip Levine,Philip,Levine,male,Stanford University,graduate,University of Iowa,Stegner,winner,National Book Foundation,National Book Award,1991,poetry,book,10000.0,What Work Is
46,1962,Robert Hass,Robert,Hass,male,Stanford University,graduate,,,winner,PEN America,Diamonstein-Spielvogel Award for the Art of the Essay,2013,prose,book,15000.0,"What Light Can Do: Essays on Art, Imagination, and the Natural World"
52,2145,Stephen Vincent Benét,Stephen Vincent,Benét,male,Yale University,graduate,,,winner,Columbia University,Pulitzer Prize,1944,poetry,book,15000.0,Western Star
55,392,Christopher Coake,Christopher,Coake,male,,graduate,Ohio State University,,winner,PEN America,Robert W. Bingham Prize for Debut Short Story Collection,2006,prose,book,25000.0,We'Re In Trouble
