,person_id,full_name,given_name,last_name,gender,graduate_degree,mfa_degree,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,elite_1,elite_2,elite_3,award
0,1891.0,Reuben Bercovitch,Reuben,Bercovitch,male,0,no mfa,winner,PEN America,Hemingway Award for Debut Novel,1979.0,prose,book,10000.0,,,,1.0
1,1807.0,Pauline Hanson,Pauline,Hanson,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1972.0,no genre,career,10000.0,,,,1.0
2,1033.0,Jean Valentine,Jean,Valentine,female,1,no mfa,winner,Yale University,Bollingen Prize for Poetry,2017.0,poetry,career,10000.0,Radcliffe College,,,1.0
3,123.0,Andrea Lawlor,Andrea,Lawlor,nonbinary/they,1,"University of Massachusetts, Amherst",winner,Whiting Foundation,Whiting Award,2020.0,no genre,career,50000.0,,,,1.0
4,1295.0,Kayleb Rae Candrilli,Kayleb Rae,Candrilli,nonbinary/they,1,University of Alabama,winner,Whiting Foundation,Whiting Award,2019.0,no genre,career,50000.0,,,,1.0
5,617.0,E. L. Doctorow,E. L.,Doctorow,male,0,no mfa,winner,National Book Foundation,National Book Award,1986.0,prose,book,10000.0,,,,1.0
6,2192.0,T. Coraghessan Boyle,T. Coraghessan,Boyle,male,1,University of Iowa,winner,PEN America,Faulkner Award for Fiction,1988.0,prose,book,15000.0,,,,1.0
7,547.0,David Wojahn,David,Wojahn,male,1,University of Arizona,winner,Academy of American Poets,Lenore Marshall Poetry Prize,2012.0,poetry,book,25000.0,,,,1.0
8,2213.0,Theodore Roethke,Theodore,Roethke,male,1,no mfa,winner,National Book Foundation,National Book Award,1959.0,poetry,book,10000.0,,,,1.0
9,1164.0,John Pipkin,John,Pipkin,male,1,no mfa,winner,Center for Fiction,First Novel Prize,2009.0,prose,book,15000.0,,,,1.0
10,1741.0,Norman Rush,Norman,Rush,male,0,no mfa,winner,American Academy of Arts and Letters,Rosenthal Family Foundation Award,1987.0,prose,book,10000.0,,,,1.0
11,585.0,Don DeLillo,Don,DeLillo,male,0,no mfa,winner,National Book Foundation,National Book Award,1985.0,prose,book,10000.0,,,,1.0
12,1839.0,Philip Levine,Philip,Levine,male,1,University of Iowa,winner,National Book Foundation,National Book Award,1991.0,poetry,book,10000.0,Stanford University,,,1.0
13,1962.0,Robert Hass,Robert,Hass,male,1,no mfa,winner,PEN America,Diamonstein-Spielvogel Award for the Art of the Essay,2013.0,prose,book,15000.0,Stanford University,,,1.0
14,2145.0,Stephen Vincent Benét,Stephen Vincent,Benét,male,1,no mfa,winner,Columbia University,Pulitzer Prize,1944.0,poetry,book,15000.0,Yale University,,,1.0
15,392.0,Christopher Coake,Christopher,Coake,male,1,Ohio State University,winner,PEN America,Robert W. Bingham Prize for Debut Short Story Collection,2006.0,prose,book,25000.0,,,,1.0
16,1423.0,Louis Begley,Louis,Begley,male,1,no mfa,winner,PEN America,Hemingway Award for Debut Novel,1992.0,prose,book,10000.0,Harvard University,,,1.0
17,844.0,Ha Jin,Ha,Jin,male,1,no mfa,winner,PEN America,Faulkner Award for Fiction,2005.0,prose,book,15000.0,,,,1.0
18,2100.0,Sherman Alexie,Sherman,Alexie,male,0,no mfa,winner,PEN America,Faulkner Award for Fiction,2010.0,prose,book,15000.0,,,,1.0
19,764.0,Franz Wright,Franz,Wright,male,0,no mfa,winner,Columbia University,Pulitzer Prize,2004.0,poetry,book,15000.0,,,,1.0
20,844.0,Ha Jin,Ha,Jin,male,1,no mfa,winner,PEN America,Faulkner Award for Fiction,2000.0,prose,book,15000.0,,,,1.0
21,844.0,Ha Jin,Ha,Jin,male,1,no mfa,winner,National Book Foundation,National Book Award,1999.0,prose,book,10000.0,,,,1.0
22,1263.0,Karl Shapiro,Karl,Shapiro,male,0,no mfa,winner,Columbia University,Pulitzer Prize,1945.0,poetry,book,15000.0,,,,1.0
23,1904.0,Richard Howard,Richard,Howard,male,1,no mfa,winner,Columbia University,Pulitzer Prize,1970.0,poetry,book,15000.0,Columbia University,,,1.0
24,1933.0,Rigoberto González,Rigoberto,González,male,1,University of Arizona,winner,Academy of American Poets,Lenore Marshall Poetry Prize,2014.0,poetry,book,25000.0,,,,1.0
25,1925.0,Rick Demarinis,Rick,Demarinis,male,0,no mfa,winner,University of Pittsburg Press,Drue Heinz Literature Prize,1986.0,prose,book,15000.0,,,,1.0
